./images/im36_edit2.jpg: [17.042707920074463, 53.78936791419983]
./images/im35_edit11.jpg: [23.17873191833496, 107.9082579612732]
./images/5558.jpg: [33.52150201797485, 161.29611492156982]
./images/im41_edit1.jpg: [0.012408018112182617, 53.851008892059326]
./images/5821.jpg: [68.477224111557, 161.60810112953186]
./images/im22_edit2.jpg: [114.9400908946991, 217.23245310783386]
./images/2395.jpg: [120.71324515342712, 162.3068721294403]
./images/im30_edit4.jpg: [138.0282120704651, 215.41172695159912]
./images/5808.jpg: [33.522331953048706, 158.64555501937866]
./images/5834.jpg: [34.42379903793335, 158.04571104049683]
./images/im17_edit2.jpg: [5.269870042800903, 54.36581492424011]
./images/5559.jpg: [104.26972603797913, 160.06966400146484]
./images/im36_edit3.jpg: [10.927881956100464, 52.842787981033325]
./images/5763.jpg: [51.75917196273804, 158.76158499717712]
./images/2839.jpg: [34.4449999332428, 160.88017892837524]
./images/im5_edit1.jpg: [23.11409306526184, 107.32312512397766]
./images/im11_edit1.jpg: [69.02948689460754, 162.47887086868286]
./images/5367.jpg: [71.68749499320984, 164.97813081741333]
./images/im8_edit3.jpg: [23.226613998413086, 111.03709006309509]
./images/2810.jpg: [52.98951578140259, 173.07062292099]
./images/im29_edit2.jpg: [52.11541390419006, 168.6309359073639]
./images/im36_edit4.jpg: [18.35177516937256, 55.91181802749634]
./images/5204.jpg: [17.20959496498108, 163.60211300849915]
./images/im8_edit1.jpg: [12.57342791557312, 55.983522176742554]
./images/im30_edit3.jpg: [165.14153289794922, 226.87809205055237]
./images/5198.jpg: [69.42312717437744, 165.32602906227112]
./images/2581.jpg: [20.790678024291992, 162.64626908302307]
./images/im36_edit5.jpg: [18.582046031951904, 55.17016100883484]
